tic,ra,dec,n_sectors,min_sector,max_sector,observed_sectors,sectors_since_94,observed_since_94,resolver
300654002,114.4168954,-69.54232842,42,1,96,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
300871545,117.6575903,-70.5336039,42,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
300969635,118.3018816,-69.31801159,43,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
301455720,256.468008,-70.67940912,5,12,93,"12,13,39,66,93",,False,local
301750630,258.8715615,-70.16091359,5,12,93,"12,13,39,66,93",,False,local
301893786,259.5683726,-70.00376955,5,12,93,"12,13,39,66,93",,False,local
301896030,259.6650917,-68.62998995,5,12,93,"12,13,39,66,93",,False,local
301897558,259.5021089,-67.77749984,5,12,93,"12,13,39,66,93",,False,local
301956342,260.2832311,-70.09253806,5,12,93,"12,13,39,66,93",,False,local
302386283,41.61346391,52.28049327,3,18,85,"18,58,85",,False,local
302668828,163.2543927,57.7022195,3,21,75,"21,48,75",,False,local
302988499,118.8887965,-78.9409603,17,7,94,"7,10,11,12,13,27,37,38,39,64,65,66,67,87,88,93,94",94,True,local
303351921,308.3655016,50.68335638,8,15,83,"15,16,41,56,75,76,82,83",,False,local
303614800,272.0419851,-61.59266638,4,13,93,"13,39,66,93",,False,local
