TIC,Per,e_Per,BJD0,Morph
0402107145,0.2923328,8.6668024e-08,1571.13377,0.721
0303427297,4.2973723,9.8268286e-05,1569.945715,0.193
0131239334,0.5698003,1.838615e-05,1571.041272,0.729
0081702112,7.7359444,0.00027535254,1573.071804,0.316
0309402205,0.7444099,7.2832212e-06,1544.840973,0.709
0452172479,0.738522,0.00030823836,1571.102134,0.685
0452406965,0.255532,6.2261928e-07,1570.579222,0.716
0142105299,80.0528937,0.00069178753,1571.062372,0.03
0399421408,2.0455544,5.2434631e-05,1573.464341,0.429
0041170667,0.9740942,5.7975992e-07,1386.296064,0.917
0272058503,3.7355485,0.00019713133,1571.556962,0.499
0380117288,1.4177203,5.7470059e-06,1571.185283,0.646
0307216760,0.7340051,1.1768003e-07,1570.842869,0.847
0308991822,8.2243833,2.1747956e-06,1328.173777,0.161
0349484636,0.3719685,2.0990641e-07,1598.143648,0.756
0167795859,6.2128172,4.2604212e-05,1599.424803,0.196
0032050581,3.1131466,1.4007112e-05,1569.28899,0.224
0055652785,1.6941403,6.6049511e-07,1325.894146,0.566
0306580215,3.499005,2.1829553e-05,1599.119285,0.256
0237915523,0.3322736,1.9937907e-07,1325.78162,0.797
0323292655,1.6698839,3.3202251e-06,1599.39596,0.595
0394657952,0.8723736,6.668112e-06,1598.567861,0.594
0358022169,0.1516228,8.5826329e-07,1597.259535,0.553
0150101799,1.577227,7.4783066e-05,1599.099274,0.341
0149160359,1.1207351,1.7838511e-06,1598.974514,0.694
0425594181,8.6904726,0.001738553,1608.541229,0.253
0453095485,0.3082996,9.3550943e-07,1598.298206,0.792
0312907176,0.7579494,7.6927515e-06,1598.189867,0.622
0360205899,0.4285519,8.9304469e-07,1544.410993,0.659
0148158540,1.8495522,5.276864e-05,1601.288752,0.544
0405533713,0.2799592,5.5144613e-07,1600.252557,0.763
0308828048,1.0692161,4.9177263e-05,1599.063686,0.749
0438682877,0.921935,1.9017718e-05,1598.268457,0.671
0159864583,3.6404884,0.00038996028,1602.455964,0.492
0460820330,5.0739877,0.00026487622,1605.069211,0.199
0309528896,1.8956622,1.0970014e-05,1599.402128,0.291
0159493588,0.3534062,1.1295611e-06,1599.999235,0.769
0243475355,1.0957854,6.4214289e-06,1600.444848,0.558
0323727556,4.0073128,8.563974e-05,1601.555217,0.558
0179410793,7.8327444,0.0026037995,1602.517719,0.328
0361388647,0.9815337,0.00013307069,1597.388743,0.533
0453784977,0.4097216,8.8796939e-06,1598.513816,0.776
0383858742,0.3211244,1.4684334e-06,1600.394641,0.943
0373844472,1.8391274,1.6734653e-06,1326.056927,0.352
0150101476,3.2785754,2.2934889e-05,1547.33039,0.411
0260192157,4.3718388,0.00014232974,1601.067275,0.316
0434664688,16.8578433,8.8553303e-05,1605.31692,0.077
0461271719,3.8127029,5.9165343e-05,1603.126498,0.512
0141978095,12.8339767,3.8845197e-05,1609.498574,0.222
0166319733,0.2822073,2.2250066e-06,1599.998908,0.719
0338465029,1.1981517,8.7168343e-06,1598.614362,0.531
0365717153,11.9094253,0.00071284534,1608.897948,0.139
0242323067,2.0454899,6.5850044e-05,1601.88878,0.587
0141943694,1.8345625,0.00049571161,1599.693138,0.38
0038707340,0.5638978,6.5234319e-07,1545.279059,0.857
0243643549,1.7922626,1.6333308e-05,1599.75308,0.615
0177118177,2.5041961,9.901114e-05,1598.705891,0.648
0242149417,1.8200771,2.3924315e-05,1600.894962,0.832
0319936861,2.090676,9.5094499e-07,1570.629419,0.578
0160159932,0.7991886,9.1214263e-06,1599.997914,0.798
0075490265,3.7384026,0.00017714791,1601.156775,0.246
0307085577,4.2812441,0.0014134684,1599.292895,0.596
0243391171,1.5169916,1.3792869e-05,1598.700015,0.554
0243662768,1.628796,6.3335449e-06,1599.827959,0.355
0278895603,0.7409491,1.7010524e-06,1545.180309,0.757
0270507305,1.2282336,2.8394382e-06,1598.696394,0.327
0291651765,0.8274292,2.0652885e-05,1598.858963,0.562
0306410072,2.3620345,0.0021547105,1571.848555,0.551
0176871438,15.1382159,0.00074132414,1609.17194,0.239
0394452884,0.3026648,9.6360215e-07,1598.45285,0.719
0407661994,25.1117023,0.00016096006,1609.940808,0.037
0219201178,2.416991,2.7337943e-07,1411.375213,0.484
0451112995,9.3056453,7.306304e-05,1604.160743,0.282
0418295363,1.0468808,2.7099915e-05,1597.143719,0.537
0307783750,0.5644946,2.5109277e-05,1571.4071,0.796
0280909668,1.9379919,5.9582814e-06,1597.861198,0.536
0323255579,0.8611959,0.00019134616,1598.5238,0.524
0000120016,0.3263708,2.9383113e-06,1600.078662,0.849
0404927661,18.5362828,2.5782472e-06,1333.97736,0.108
0393491149,0.5543533,5.7700946e-08,1598.49221,0.595
0370085638,10.7713548,0.014052865,1608.549587,0.248
0048227278,2.8963311,5.2422088e-05,1602.381645,0.37
0332607409,13.0509244,0.014893548,1600.79944,0.342
0369506001,4.1529469,0.00021514479,1600.482907,0.272
0404804908,4.4140873,1.992992e-06,1551.762737,0.203
0060735803,21.1444727,0.0011838517,1607.63347,0.052
0418532689,0.3803666,1.0806505e-06,1597.298526,0.62
0363847487,2.4012395,2.0615138e-05,1599.533787,0.304
0394099697,0.7652936,0.00010568616,1597.299709,0.49
0083391903,2.4772474,6.4462446e-05,1600.393521,0.284
0350298314,47.7191149,3.5167345e-05,1358.040315,0.002
0394728064,42.6178946,0.12400839,1639.812662,0.157
0438790187,2.0919391,0.002545512,1599.965975,0.361
0337370789,0.8380236,0.00020155778,1598.775898,0.561
0306635088,17.0043351,1.4939087e-05,1613.074372,0.138
0083833793,2.1734806,7.5431236e-05,1601.474772,0.583
0210636260,0.8688272,6.7176018e-05,1598.499196,0.803
0031511621,2.629486,0.00047874364,1600.914024,0.633
0260659986,3.5700897,8.1888423e-06,1599.939716,0.406
0061120063,1.3195968,2.6803239e-05,1600.466911,0.966
0278289141,5.8672921,0.00028526867,1601.096723,0.375
0332600127,0.560476,2.1449931e-06,1598.455974,0.676
0420581415,1.3157195,0.00010969465,1599.144032,0.408
0167722708,35.297151,0.00041773909,1596.891141,0.112
0412942849,0.1903048,4.8275347e-06,1598.002994,0.624
0140760434,30.9767086,0.83631514,1602.528511,0.128
0128886984,1.6339861,1.5097259e-05,1600.928516,0.782
0107548305,0.048979,1.2868775e-07,1600.122599,0.949
0323968843,2.6995287,2.4390898e-05,1599.141452,0.517
0370678161,7.5556123,9.5241307e-05,1602.627551,0.366
0453785266,5.4400952,0.00039757529,1600.694587,0.343
0047831368,0.3659521,1.2733079e-06,1600.095455,0.835
0220029715,3.1874984,3.8973166e-06,1601.453747,0.275
0401626459,1.5129236,2.0368406e-05,1598.245706,0.411
0454855280,7.9612445,0.00026369031,1598.243914,0.16
0448852739,1.1746333,6.2964145e-06,1599.15822,0.526
0112099606,10.2868251,8.628806e-05,1606.296266,0.166
0379783522,2.4500945,1.1451454e-05,1597.610744,0.486
0357911163,4.7818281,7.9179219e-05,1599.815016,0.236
0272467271,1.3475265,6.5318064e-06,1598.398612,0.544
0129116176,2.017322,3.7711058e-05,1600.03792,0.429
0083939434,0.9210253,1.4583344e-05,1600.01642,0.77
0073455146,0.6693594,5.9008674e-07,1598.803926,0.855
0083449549,3.4284422,0.0032062225,1601.829342,0.531
0287669537,1.2950907,9.1162881e-06,1599.393178,0.579
