tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
30329585,1175.01,7.5022708,2459437.549479,FP
230088370,1176.01,14.0077666,2458695.361762,PC
169177766,1177.01,1.692892,2460556.672243,FP
359496368,1178.01,2.6652007,2460646.783967,FP
148914726,1179.01,1.2615323,2460365.036662,APC
266980320,118.01,6.0344634,2460899.883842,CP
158002130,1180.01,9.6867516,2460473.411486,CP
229510866,1181.01,2.1031647,2460556.242383,CP
341544930,1182.01,7.6416041,2460386.22206,FP
258777137,1183.01,5.9294088,2460654.565628,FP
233087860,1184.01,5.7484439,2460558.350441,CP
83210867,1185.01,1.1967018,2460532.182655,FP
289539327,1186.01,11.2464616,2460649.2545,FP
372757221,1187.01,2.5941968,2460310.089156,PC
15247229,1188.01,8.5112,2458687.19253,FP
112026224,1189.01,3.9687994,2459441.286476,PC
278683844,119.01,5.5411113,2460987.348604,PC
278683844,119.02,10.69173,2460979.593803,PC
287196418,1190.01,3.6950015,2460553.884666,APC
237185205,1191.01,15.7335693,2459441.423236,FP
158276040,1192.01,45.9403293,2460524.90576,APC
89643259,1193.01,2.2219839,2460337.368138,FP
147950620,1194.01,2.3106428,2460367.07216,CP
24364065,1195.01,4.05135,2458686.84696,FP
69068526,1196.01,5.5376617,2459785.498161,PC
92677094,1197.01,4.5960377,2459787.132209,PC
203189770,1198.01,3.612771,2460551.040398,KP
99869022,1199.01,3.6714717,2460360.434669,CP
394137592,120.01,11.535076,2458332.082805,CP
288185138,1200.01,0.8352406,2460365.995576,FP
29960110,1201.01,2.4919771,2458411.670877,CP
327017634,1202.01,,2458614.434411,FP
23434737,1203.01,25.5195307,2458553.062116,CP
467666275,1204.01,1.3812115,2458569.940999,PC
287156968,1230.01,25.0571312,2458620.316686,CP
447061717,1231.01,24.2454967,2458563.890468,CP
364395234,1232.01,14.2545623,2460938.773643,CP
260647166,1233.01,14.1758947,2459308.481159,CP
260647166,1233.02,19.5901578,2459311.402774,CP
260647166,1233.03,6.2036219,2459310.632995,CP
260647166,1233.04,3.79589,2458572.107559,CP
90504905,1234.01,2.2645386,2458685.613152,FP
103633434,1235.01,3.4447015,2460333.631473,CP
120757718,1236.01,3.0300715,2459422.690639,KP
120960812,1237.01,12.72038,2459781.665928,KP
120960812,1237.02,6.238755,2458685.409943,KP
153951307,1238.01,3.2947689,2458684.28731,CP
153951307,1238.02,0.7645807,2458684.104681,CP
154716798,1239.01,12.6396982,2459604.095801,PC
29831208,124.01,1.8428078,2460042.199513,APC
287776397,1205.01,2.3922703,2458383.241223,PC
308034948,1206.01,0.831542,2458569.713498,FP
364393429,1207.01,2.6282553,2458325.539664,PC
273985865,1208.01,3.4239436,2458327.476703,PC
